Time,Range,Vel,Lat_nominal,Lon_nominal,Alt_nominal,Alt_90km,Lat_90km,Lon_90km
231.4,133.6,1100.5,66.324379,-147.255936,383.7,89.95747844695194,66.8310976152791,-146.89010615671916
231.5,133.7,1099.8,66.324921,-147.255829,383.8,89.95397661329326,66.83179535012226,-146.88987800267253
231.6,133.7,1099.1,66.325462,-147.255722,383.9,89.95048637703884,66.83249207991076,-146.88964986302096
231.7,133.8,1098.4,66.326012,-147.255615,384.0,89.94677817001781,66.8331979003831,-146.8894214983873
231.8,133.9,1097.6,66.326553,-147.255508,384.1,89.94326518106833,66.83389463922265,-146.8891933396152
231.9,133.9,1096.9,66.327095,-147.255402,384.1,89.9303928238884,66.83444195355102,-146.88907342932242
232.0,134.0,1096.2,66.327637,-147.25528,384.2,89.92678079845489,66.83513972572041,-146.8888301004232
232.1,134.0,1095.5,66.328186,-147.255173,384.3,89.92305643058577,66.83584455209908,-146.88860172576284
232.2,134.1,1094.8,66.328728,-147.255066,384.4,89.91948154735847,66.83654231592577,-146.88837350927085
232.3,134.2,1094.1,66.329269,-147.254959,384.5,89.91591830653815,66.83723907468003,-146.88814530721862
232.4,134.2,1093.4,66.329819,-147.254852,384.6,89.99845095316145,66.83779617562287,-146.88802855482876
232.5,134.3,1092.7,66.33036,-147.254745,384.7,89.99487004440053,66.83849294142644,-146.88780033921546
232.6,134.3,1092.0,66.330902,-147.254639,384.8,89.99125877035587,66.83919072017811,-146.88757309885497
232.7,134.4,1091.3,66.331451,-147.254532,384.9,89.98747091324292,66.83989557182514,-146.8873446720702
232.8,134.5,1090.6,66.331993,-147.25441,384.9,89.97449915463687,66.8404429180528,-146.8872085843233
232.9,134.5,1089.9,66.332535,-147.254303,385.0,89.97085627966536,66.8411407088673,-146.8869803109146
233.0,134.6,1089.2,66.333076,-147.254196,385.1,89.96722508575158,66.84183749459416,-146.88675205198336
233.1,134.7,1088.5,66.333618,-147.254089,385.2,89.96355948167638,66.84253529444727,-146.88652375947424
233.2,134.7,1087.8,66.334167,-147.253983,385.3,89.95972505409237,66.84324016496048,-146.88629629786968
233.3,134.8,1087.1,66.334709,-147.25386,385.4,89.95597243809756,66.84393799254946,-146.88605184528603
233.4,134.8,1086.4,66.335251,-147.253754,385.5,89.95227665137375,66.84463580483114,-146.88582453280657
233.5,134.9,1085.7,66.335793,-147.253647,385.6,89.94856547739997,66.84533362280207,-146.88559620195986
233.6,135.0,1085.0,66.336334,-147.25354,385.6,89.93564255684421,66.8458799548509,-146.88547523403366
233.7,135.0,1084.3,66.336884,-147.253433,385.7,89.9317304102832,66.84658585619681,-146.88524669589202
233.8,135.1,1083.6,66.337425,-147.253326,385.8,89.92801474507988,66.84728267543433,-146.8850183648911
233.9,135.1,1082.9,66.337967,-147.25322,385.9,89.9242686205838,66.84798050765382,-146.88479100906082
234.0,135.2,1082.1,66.338516,-147.253098,386.0,89.9202848667128,66.8486854305855,-146.88454733369738
234.1,135.3,1081.4,66.339058,-147.252991,386.1,89.91651188059106,66.84938327305268,-146.88431894980732
234.2,135.3,1080.7,66.3396,-147.252884,386.2,89.99913134670354,66.84993233616434,-146.88420232727836
234.3,135.4,1080.0,66.340141,-147.252777,386.3,89.9953638557097,66.85062917602596,-146.88397395397266
234.4,135.4,1079.3,66.340691,-147.25267,386.3,89.9822020582667,66.85118460632387,-146.88385273710256
234.5,135.5,1078.6,66.341232,-147.252563,386.4,89.97841833923546,66.8518814525603,-146.88362434910854
234.6,135.6,1077.9,66.341774,-147.252457,386.5,89.97460411567816,66.85257931179481,-146.8833969362457
234.7,135.6,1077.2,66.342323,-147.25235,386.6,89.97061226186041,66.85328424431376,-146.88316833586893
234.8,135.7,1076.5,66.342865,-147.252228,386.7,89.96671069584102,66.85398213140107,-146.88292476231578
234.9,135.7,1075.8,66.343407,-147.252121,386.8,89.9628581989008,66.85468000541633,-146.88269631178235
235.0,135.8,1075.1,66.343948,-147.252014,386.9,89.95901751120768,66.85537687429301,-146.88246787585317
235.1,135.9,1074.4,66.34449,-147.251907,386.9,89.94601127590309,66.85592423851985,-146.88234682090157
235.2,135.9,1073.7,66.345039,-147.251801,387.0,89.94197277784524,66.8566291899207,-146.88211918564014
235.3,136.0,1073.1,66.345581,-147.251678,387.1,89.938016644638,66.8573270981828,-146.88187455956228
235.4,136.0,1072.4,66.346123,-147.251572,387.2,89.93411774572346,66.85802499098874,-146.88164707439168
235.5,136.1,1071.7,66.346664,-147.251465,387.3,89.93022664815412,66.8587218798202,-146.8814185950004
235.6,136.2,1071.0,66.347206,-147.251358,387.4,89.92630092735256,66.85941978285486,-146.88119008180993
235.7,136.2,1070.3,66.347755,-147.251251,387.5,89.92220104287665,66.86012475821227,-146.88096138936464
235.8,136.3,1069.6,66.348297,-147.251144,387.5,89.99564701308431,66.86052331901297,-146.88095215765674
235.9,136.4,1068.9,66.348839,-147.251038,387.6,89.99170279567443,66.86122122977164,-146.88072463462404
236.0,136.4,1068.2,66.34938,-147.250916,387.7,89.98770570262505,66.86191815423369,-146.88048098432728
236.1,136.5,1067.5,66.349922,-147.250809,387.8,89.98373462577943,66.86261607523372,-146.88025243320956
236.2,136.5,1066.8,66.350471,-147.250702,387.9,89.97958917725751,66.86332106863232,-146.88002370262907
